2016-01-09 09:38:04 status unpacked php5-mysql:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status unpacked php5-mysql:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 install php5-readline:amd64 <none> 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status half-installed php5-readline:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status unpacked php5-readline:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status unpacked php5-readline:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 trigproc man-db:amd64 2.7.0.2-5 <none>
2016-01-09 09:38:04 status half-configured man-db:amd64 2.7.0.2-5
2016-01-09 09:38:04 status installed man-db:amd64 2.7.0.2-5
2016-01-09 09:38:04 trigproc systemd:amd64 219-7ubuntu6 <none>
2016-01-09 09:38:04 status half-configured systemd:amd64 219-7ubuntu6
2016-01-09 09:38:04 status installed systemd:amd64 219-7ubuntu6
2016-01-09 09:38:04 trigproc ureadahead:amd64 0.100.0-19 <none>
2016-01-09 09:38:04 status half-configured ureadahead:amd64 0.100.0-19
2016-01-09 09:38:04 status installed ureadahead:amd64 0.100.0-19
2016-01-09 09:38:04 startup packages configure
